;ESTACION;PRODUCTO;INICIAL;FINAL;PVP;ESTACION;PAGO;TARIFA
24;74;1;01/08/2025;20/08/2025;1,814;HUMILLADERO;MENSUAL;TARIFA 18
24;75;1;01/08/2025;20/08/2025;1,814;HUMILLADERO;MENSUAL;TARIFA 18
24;27;1;01/08/2025;20/08/2025;1,819;UCLES;MENSUAL;TARIFA 18
24;72;1;01/08/2025;20/08/2025;1,814;BENAMEJI;MENSUAL;TARIFA 18
24;76;1;01/08/2025;20/08/2025;1,790;SORIA ALCUBILLAS;MENSUAL;TARIFA 18
24;83;1;01/08/2025;20/08/2025;1,802;ES RIBA-ROJA;MENSUAL;TARIFA 18
24;84;1;01/08/2025;20/08/2025;1,802;ES PISTA DE SILLA;MENSUAL;TARIFA 18
24;85;1;01/08/2025;20/08/2025;1,802;ES REAL DE GANDIA;MENSUAL;TARIFA 18
24;87;1;01/08/2025;20/08/2025;1,802;ES CHIVA;MENSUAL;TARIFA 18
24;88;1;01/08/2025;20/08/2025;1,802;ES ALBERIC;MENSUAL;TARIFA 18
24;18;1;01/08/2025;20/08/2025;1,790;ABRERA;MENSUAL;TARIFA 18
24;70;1;01/08/2025;20/08/2025;1,826;VALDEHERRERA;MENSUAL;TARIFA 18
24;23;1;01/08/2025;20/08/2025;1,826;EL CASAR;MENSUAL;TARIFA 18
24;66;1;01/08/2025;20/08/2025;0,000;MONTE REAL;MENSUAL;TARIFA 18
24;8;1;01/08/2025;20/08/2025;1,790;LA JOYOSA;MENSUAL;TARIFA 18
24;82;1;01/08/2025;20/08/2025;1,794;JUNDIZ NORPETROL;MENSUAL;TARIFA 18
24;16;1;01/08/2025;20/08/2025;1,923;OLIVERAL;MENSUAL;TARIFA 18
24;14;1;01/08/2025;20/08/2025;0,000;Z.FRANCA;MENSUAL;TARIFA 18
24;5;1;01/08/2025;20/08/2025;1,807;GUARROMAN;MENSUAL;TARIFA 18
24;41;1;01/08/2025;20/08/2025;1,814;VALDEPEÑAS;MENSUAL;TARIFA 18
24;64;1;01/08/2025;20/08/2025;1,807;OPEN;MENSUAL;TARIFA 18
24;44;1;01/08/2025;20/08/2025;1,777;TJOIL SEVILLA;MENSUAL;TARIFA 18
24;33;1;01/08/2025;20/08/2025;1,830;BENAVENTE;MENSUAL;TARIFA 18
24;34;1;01/08/2025;20/08/2025;1,800;IRUN ZAISA III;MENSUAL;TARIFA 18
24;91;1;01/08/2025;20/08/2025;1,802;TARRAGONA ;MENSUAL;TARIFA 18
24;53;1;01/08/2025;20/08/2025;1,802;VILAMALLA;MENSUAL;TARIFA 18
24;45;1;01/08/2025;20/08/2025;1,814;LACHAR;MENSUAL;TARIFA 18
24;47;1;01/08/2025;20/08/2025;1,802;LA CAMPANA;MENSUAL;TARIFA 18
24;56;1;01/08/2025;20/08/2025;1,838;AVILESINA;MENSUAL;TARIFA 18
24;61;1;01/08/2025;20/08/2025;1,814;GOR;MENSUAL;TARIFA 18
24;60;1;01/08/2025;20/08/2025;1,790;LLERS;MENSUAL;TARIFA 18
24;65;1;01/08/2025;20/08/2025;1,814;DARRO - A92;MENSUAL;TARIFA 18
24;68;1;01/08/2025;20/08/2025;1,878;MERIDA;MENSUAL;TARIFA 18
24;67;1;01/08/2025;20/08/2025;1,777;SANCTI-SPIRITUS;MENSUAL;TARIFA 18
24;77;1;01/08/2025;20/08/2025;1,777;MURCIA;MENSUAL;TARIFA 18
24;78;1;01/08/2025;20/08/2025;1,777;NORIOIL;MENSUAL;TARIFA 18
24;80;1;01/08/2025;20/08/2025;1,827;SAN VICENTE DEL PALACIO;MENSUAL;TARIFA 18
24;81;1;01/08/2025;20/08/2025;1,839;WATERY ARANDA;MENSUAL;TARIFA 18
24;79;1;01/08/2025;20/08/2025;1,753;BERA ;MENSUAL;TARIFA 18
24;71;1;01/08/2025;20/08/2025;1,807;PUERTO DE BARCELONA;MENSUAL;TARIFA 18
24;86;1;01/08/2025;20/08/2025;1,831;GIRONA-CALSINA;MENSUAL;TARIFA 18
24;89;1;01/08/2025;20/08/2025;1,802;CATARROJA;MENSUAL;TARIFA 18
24;90;1;01/08/2025;20/08/2025;1,802;MANISES - EXOIL;MENSUAL;TARIFA 18
24;93;1;01/08/2025;20/08/2025;1,836;FEGOBLAN PONTEVEDRA;MENSUAL;TARIFA 18
24;94;1;01/08/2025;20/08/2025;1,825;VEGA DE VALCARCE;MENSUAL;TARIFA 18
24;95;1;01/08/2025;20/08/2025;1,834;HOILA TOLEDO;MENSUAL;TARIFA 18
24;97;1;01/08/2025;20/08/2025;1,810;PETREM TRUCKS FIGUERES;MENSUAL;TARIFA 18
8;73;1;01/08/2025;20/08/2025;1,821;TORREJON;MENSUAL;TARIFA 24
8;19;1;01/08/2025;20/08/2025;1,802;ARCOS JALON;MENSUAL;TARIFA 24
8;26;1;01/08/2025;20/08/2025;1,809;ALFAJARIN;MENSUAL;TARIFA 24
8;1;1;01/08/2025;20/08/2025;1,826;TORREMOCHA;MENSUAL;TARIFA 24
8;2;1;01/08/2025;20/08/2025;1,826;MADRID;MENSUAL;TARIFA 24
8;55;1;01/08/2025;20/08/2025;1,833;VALLECAS;MENSUAL;TARIFA 24
8;96;1;01/08/2025;20/08/2025;1,821;ES VALDEMORO;MENSUAL;TARIFA 24
8;9;1;01/08/2025;20/08/2025;1,785;PAMPLONA;MENSUAL;TARIFA 24
8;10;1;01/08/2025;20/08/2025;1,785;PAMPLONA;MENSUAL;TARIFA 24
8;74;1;01/08/2025;20/08/2025;1,821;HUMILLADERO;MENSUAL;TARIFA 24
8;75;1;01/08/2025;20/08/2025;1,821;HUMILLADERO;MENSUAL;TARIFA 24
8;27;1;01/08/2025;20/08/2025;1,826;UCLES;MENSUAL;TARIFA 24
8;72;1;01/08/2025;20/08/2025;1,821;BENAMEJI;MENSUAL;TARIFA 24
8;76;1;01/08/2025;20/08/2025;1,797;SORIA ALCUBILLAS;MENSUAL;TARIFA 24
8;83;1;01/08/2025;20/08/2025;1,809;ES RIBA-ROJA;MENSUAL;TARIFA 24
8;84;1;01/08/2025;20/08/2025;1,809;ES PISTA DE SILLA;MENSUAL;TARIFA 24
8;85;1;01/08/2025;20/08/2025;1,809;ES REAL DE GANDIA;MENSUAL;TARIFA 24
8;87;1;01/08/2025;20/08/2025;1,809;ES CHIVA;MENSUAL;TARIFA 24
8;88;1;01/08/2025;20/08/2025;1,809;ES ALBERIC;MENSUAL;TARIFA 24
8;18;1;01/08/2025;20/08/2025;1,797;ABRERA;MENSUAL;TARIFA 24
8;70;1;01/08/2025;20/08/2025;1,833;VALDEHERRERA;MENSUAL;TARIFA 24
8;23;1;01/08/2025;20/08/2025;1,833;EL CASAR;MENSUAL;TARIFA 24
8;66;1;01/08/2025;20/08/2025;0,000;MONTE REAL;MENSUAL;TARIFA 24
8;8;1;01/08/2025;20/08/2025;1,797;LA JOYOSA;MENSUAL;TARIFA 24
8;82;1;01/08/2025;20/08/2025;1,802;JUNDIZ NORPETROL;MENSUAL;TARIFA 24
8;16;1;01/08/2025;20/08/2025;1,930;OLIVERAL;MENSUAL;TARIFA 24
8;14;1;01/08/2025;20/08/2025;0,000;Z.FRANCA;MENSUAL;TARIFA 24
8;5;1;01/08/2025;20/08/2025;1,814;GUARROMAN;MENSUAL;TARIFA 24
8;41;1;01/08/2025;20/08/2025;1,821;VALDEPEÑAS;MENSUAL;TARIFA 24
8;64;1;01/08/2025;20/08/2025;1,814;OPEN;MENSUAL;TARIFA 24
8;44;1;01/08/2025;20/08/2025;1,785;TJOIL SEVILLA;MENSUAL;TARIFA 24
8;33;1;01/08/2025;20/08/2025;1,837;BENAVENTE;MENSUAL;TARIFA 24
8;34;1;01/08/2025;20/08/2025;1,808;IRUN ZAISA III;MENSUAL;TARIFA 24
8;91;1;01/08/2025;20/08/2025;1,809;TARRAGONA ;MENSUAL;TARIFA 24
8;53;1;01/08/2025;20/08/2025;1,809;VILAMALLA;MENSUAL;TARIFA 24
8;45;1;01/08/2025;20/08/2025;1,821;LACHAR;MENSUAL;TARIFA 24
8;47;1;01/08/2025;20/08/2025;1,809;LA CAMPANA;MENSUAL;TARIFA 24
8;56;1;01/08/2025;20/08/2025;1,845;AVILESINA;MENSUAL;TARIFA 24
8;61;1;01/08/2025;20/08/2025;1,821;GOR;MENSUAL;TARIFA 24
8;60;1;01/08/2025;20/08/2025;1,797;LLERS;MENSUAL;TARIFA 24
8;65;1;01/08/2025;20/08/2025;1,821;DARRO - A92;MENSUAL;TARIFA 24
8;68;1;01/08/2025;20/08/2025;1,885;MERIDA;MENSUAL;TARIFA 24
8;67;1;01/08/2025;20/08/2025;1,785;SANCTI-SPIRITUS;MENSUAL;TARIFA 24
8;77;1;01/08/2025;20/08/2025;1,785;MURCIA;MENSUAL;TARIFA 24
8;78;1;01/08/2025;20/08/2025;1,785;NORIOIL;MENSUAL;TARIFA 24
8;80;1;01/08/2025;20/08/2025;1,834;SAN VICENTE DEL PALACIO;MENSUAL;TARIFA 24
8;81;1;01/08/2025;20/08/2025;1,846;WATERY ARANDA;MENSUAL;TARIFA 24
8;79;1;01/08/2025;20/08/2025;1,761;BERA ;MENSUAL;TARIFA 24
8;71;1;01/08/2025;20/08/2025;1,814;PUERTO DE BARCELONA;MENSUAL;TARIFA 24
8;86;1;01/08/2025;20/08/2025;1,838;GIRONA-CALSINA;MENSUAL;TARIFA 24
8;89;1;01/08/2025;20/08/2025;1,809;CATARROJA;MENSUAL;TARIFA 24
8;90;1;01/08/2025;20/08/2025;1,809;MANISES - EXOIL;MENSUAL;TARIFA 24
8;93;1;01/08/2025;20/08/2025;1,843;FEGOBLAN PONTEVEDRA;MENSUAL;TARIFA 24
8;94;1;01/08/2025;20/08/2025;1,832;VEGA DE VALCARCE;MENSUAL;TARIFA 24
8;95;1;01/08/2025;20/08/2025;1,842;HOILA TOLEDO;MENSUAL;TARIFA 24
8;97;1;01/08/2025;20/08/2025;1,817;PETREM TRUCKS FIGUERES;MENSUAL;TARIFA 24
3;73;1;01/08/2025;20/08/2025;1,836;TORREJON;MENSUAL;TARIFA 36
3;19;1;01/08/2025;20/08/2025;1,816;ARCOS JALON;MENSUAL;TARIFA 36
3;26;1;01/08/2025;20/08/2025;1,823;ALFAJARIN;MENSUAL;TARIFA 36
3;1;1;01/08/2025;20/08/2025;1,840;TORREMOCHA;MENSUAL;TARIFA 36
3;2;1;01/08/2025;20/08/2025;1,840;MADRID;MENSUAL;TARIFA 36
3;55;1;01/08/2025;20/08/2025;1,848;VALLECAS;MENSUAL;TARIFA 36
3;96;1;01/08/2025;20/08/2025;1,836;ES VALDEMORO;MENSUAL;TARIFA 36
3;9;1;01/08/2025;20/08/2025;1,799;PAMPLONA;MENSUAL;TARIFA 36
3;10;1;01/08/2025;20/08/2025;1,799;PAMPLONA;MENSUAL;TARIFA 36
3;74;1;01/08/2025;20/08/2025;1,836;HUMILLADERO;MENSUAL;TARIFA 36
3;75;1;01/08/2025;20/08/2025;1,836;HUMILLADERO;MENSUAL;TARIFA 36
3;27;1;01/08/2025;20/08/2025;1,840;UCLES;MENSUAL;TARIFA 36
3;72;1;01/08/2025;20/08/2025;1,836;BENAMEJI;MENSUAL;TARIFA 36
3;76;1;01/08/2025;20/08/2025;1,811;SORIA ALCUBILLAS;MENSUAL;TARIFA 36
3;83;1;01/08/2025;20/08/2025;1,823;ES RIBA-ROJA;MENSUAL;TARIFA 36
3;84;1;01/08/2025;20/08/2025;1,823;ES PISTA DE SILLA;MENSUAL;TARIFA 36
3;85;1;01/08/2025;20/08/2025;1,823;ES REAL DE GANDIA;MENSUAL;TARIFA 36
3;87;1;01/08/2025;20/08/2025;1,823;ES CHIVA;MENSUAL;TARIFA 36
3;88;1;01/08/2025;20/08/2025;1,823;ES ALBERIC;MENSUAL;TARIFA 36
3;18;1;01/08/2025;20/08/2025;1,811;ABRERA;MENSUAL;TARIFA 36
3;70;1;01/08/2025;20/08/2025;1,848;VALDEHERRERA;MENSUAL;TARIFA 36
3;23;1;01/08/2025;20/08/2025;1,848;EL CASAR;MENSUAL;TARIFA 36
3;66;1;01/08/2025;20/08/2025;0,000;MONTE REAL;MENSUAL;TARIFA 36
3;8;1;01/08/2025;20/08/2025;1,811;LA JOYOSA;MENSUAL;TARIFA 36
3;82;1;01/08/2025;20/08/2025;1,816;JUNDIZ NORPETROL;MENSUAL;TARIFA 36
3;16;1;01/08/2025;20/08/2025;1,944;OLIVERAL;MENSUAL;TARIFA 36
3;14;1;01/08/2025;20/08/2025;0,000;Z.FRANCA;MENSUAL;TARIFA 36
3;5;1;01/08/2025;20/08/2025;1,828;GUARROMAN;MENSUAL;TARIFA 36
3;41;1;01/08/2025;20/08/2025;1,836;VALDEPEÑAS;MENSUAL;TARIFA 36
3;64;1;01/08/2025;20/08/2025;1,828;OPEN;MENSUAL;TARIFA 36
3;44;1;01/08/2025;20/08/2025;1,799;TJOIL SEVILLA;MENSUAL;TARIFA 36
3;33;1;01/08/2025;20/08/2025;1,851;BENAVENTE;MENSUAL;TARIFA 36
3;34;1;01/08/2025;20/08/2025;1,822;IRUN ZAISA III;MENSUAL;TARIFA 36
3;91;1;01/08/2025;20/08/2025;1,823;TARRAGONA ;MENSUAL;TARIFA 36
3;53;1;01/08/2025;20/08/2025;1,823;VILAMALLA;MENSUAL;TARIFA 36
3;45;1;01/08/2025;20/08/2025;1,836;LACHAR;MENSUAL;TARIFA 36
3;47;1;01/08/2025;20/08/2025;1,823;LA CAMPANA;MENSUAL;TARIFA 36
3;56;1;01/08/2025;20/08/2025;1,860;AVILESINA;MENSUAL;TARIFA 36
3;61;1;01/08/2025;20/08/2025;1,836;GOR;MENSUAL;TARIFA 36
3;60;1;01/08/2025;20/08/2025;1,811;LLERS;MENSUAL;TARIFA 36
3;65;1;01/08/2025;20/08/2025;1,836;DARRO - A92;MENSUAL;TARIFA 36
3;68;1;01/08/2025;20/08/2025;1,900;MERIDA;MENSUAL;TARIFA 36
